year,round_of,winning_team_name,winning_team_seed,winning_team_score,losing_team_name,losing_team_seed,losing_team_score
2024,64,Northwestern,9,77,Florida Atlantic,8,65
2024,64,Yale,13,78,Auburn,4,76
2024,64,Duquesne,11,71,BYU,6,67
2024,16,Illinois,3,72,Iowa State,2,69
2024,64,Michigan State,9,69,Mississippi State,8,51
2024,64,Grand Canyon,12,75,Saint Mary's,5,66
2024,32,Clemson,6,72,Baylor,3,64
2024,16,Alabama,4,89,North Carolina,1,87
2024,16,Clemson,6,77,Arizona,2,72
2024,64,Texas A&M,9,98,Nebraska,8,83
2024,64,James Madison,12,72,Wisconsin,5,61
2024,64,NC State,11,80,Texas Tech,6,67
2024,64,Oakland,14,80,Kentucky,3,76
2024,64,Colorado,10,102,Florida,7,100
2024,16,Duke,4,54,Houston,1,51
2024,16,NC State,11,67,Marquette,2,58
2024,8,NC State,11,76,Duke,4,64
2024,64,Oregon,11,87,South Carolina,6,73
2024,32,Gonzaga,5,89,Kansas,4,68
2023,64,Furman,13,68,Virginia,4,67
2023,64,Princeton,15,59,Arizona,2,55
2023,32,Creighton,6,85,Baylor,3,76
2023,32,Princeton,15,78,Missouri,7,63
2023,16,San Diego State,5,71,Alabama,1,64
2023,64,Fairleigh Dickinson,16,63,Purdue,1,58
2023,64,Florida Atlantic,9,66,Memphis,8,65
2023,32,Michigan State,7,69,Marquette,2,60
2023,16,Florida Atlantic,9,62,Tennessee,4,55
2023,8,Florida Atlantic,9,79,Kansas State,3,76
2023,64,Auburn,9,83,Iowa,8,75
2023,64,Pittsburgh,11,59,Iowa State,6,41
2023,64,Penn State,10,76,Texas A&M,7,59
2023,32,Miami (FL),5,85,Indiana,4,69
2023,16,Miami (FL),5,89,Houston,1,75
2023,8,Miami (FL),5,88,Texas,2,81
2023,32,Arkansas,8,72,Kansas,1,71
2023,16,Gonzaga,3,79,UCLA,2,76
2023,8,UConn,4,82,Gonzaga,3,54
2022,64,Memphis,9,64,Boise State,8,53
2022,64,New Mexico State,12,70,UConn,5,63
2022,64,Notre Dame,11,78,Alabama,6,64
2022,16,Arkansas,4,74,Gonzaga,1,68
2022,64,Saint Peter's,15,85,Kentucky,2,79
