SEED,OVERALL RECORD,BEST FINISH
No. 1,534-134,Champions (26 times)
No. 2,373-155,Champions (five times)
No. 3,294-156,Champions (four times)
No. 4,250-158,Champion (two times)
No. 5,183-160,Runner-up (four times)
No. 6,168-159,Champions (once)
No. 7,141-159,Champions (once)
No. 8,113-159,Champions (once)
No. 9,98-160,Final Four (two times)
No. 10,97-159,Final Four (once)
No. 11,105-160,Final Four (five times)
No. 12,81-160,Elite Eight (two times)
No. 13,39-160,Sweet 16 (six times)
No. 14,25-160,Sweet 16 (two times)
No. 15,16-160,Sweet 16 (once)
No. 16,2-160,Second round (two times)
